name,math,english,chinese,avg
Student1,88.0,61.0,58.0,69.0
Student2,78.0,77.0,53.0,69.3
Student3,64.0,55.0,64.0,61.0
Student4,92.0,69.0,97.0,86.0
Student5,57.0,54.0,57.0,56.0
Student6,70.0,72.0,98.0,80.0
Student7,unknown,58.0,50.0,54.0
Student8,68.0,78.0,56.0,67.3
Student9,72.0,65.0,80.0,72.3
Student10,unknown,95.0,67.0,81.0
Student11,60.0,71.0,61.0,64.0
Student12,73.0,57.0,97.0,75.7
Student13,85.0,69.0,79.0,77.7
Student14,89.0,63.0,82.0,78.0
Student15,73.0,88.0,96.0,85.7
Student16,52.0,86.0,56.0,64.7
Student17,71.0,99.0,77.0,82.3
Student18,51.0,83.0,98.0,77.3
Student19,73.0,60.0,52.0,61.7
Student20,93.0,89.0,92.0,91.3
Student21,79.0,82.0,55.0,72.0
Student22,87.0,80.0,80.0,82.3
Student23,51.0,93.0,87.0,77.0
Student24,70.0,83.0,64.0,72.3
Student25,82.0,99.0,56.0,79.0
Student26,61.0,56.0,92.0,69.7
Student27,71.0,98.0,79.0,82.7
Student28,93.0,72.0,76.0,80.3
Student29,74.0,95.0,66.0,78.3
Student30,98.0,56.0,67.0,73.7
Student31,76.0,74.0,71.0,73.7
Student32,91.0,52.0,75.0,72.7
Student33,77.0,87.0,76.0,80.0
Student34,65.0,69.0,89.0,74.3
Student35,64.0,83.0,73.0,73.3
Student36,96.0,98.0,57.0,83.7
Student37,93.0,93.0,70.0,85.3
Student38,52.0,93.0,78.0,74.3
Student39,86.0,79.0,92.0,85.7
Student40,56.0,66.0,70.0,64.0
Student41,70.0,59.0,52.0,60.3
Student42,58.0,84.0,80.0,74.0
Student43,88.0,69.0,76.0,77.7
Student44,67.0,67.0,95.0,76.3
Student45,53.0,94.0,76.0,74.3
Student46,74.0,93.0,58.0,75.0
Student47,63.0,76.0,82.0,73.7
Student48,99.0,98.0,82.0,93.0
Student49,58.0,85.0,75.0,72.7
Student50,75.0,72.0,77.0,74.7
Student51,51.0,81.0,93.0,75.0
